imagen,estado,portada,kb,calidad_jpg
images/deportes/lentes-ciclismo/lentes-ciclismo-9.png,procesada,images/deportes/lentes-ciclismo/1_portada_lentes-ciclismo-9-png.jpg,72.1,92
images/deportes/zapatillas-joma/01-guia-tallas-toledo.jpg,omitida (infografia/banner),,,
images/deportes/zapatillas-joma/03-guia-medir-pie.jpg,omitida (infografia/banner),,,
images/deportes/zapatillas-joma/blue-yellow-1.png,procesada,images/deportes/zapatillas-joma/1_portada_blue-yellow-1.jpg,134.3,88
images/deportes/zapatillas-joma/blue-yellow.jpg,procesada,images/deportes/zapatillas-joma/1_portada_blue-yellow-jpg.jpg,138.1,88
images/deportes/zapatillas-joma/blue-yellow.png,procesada,images/deportes/zapatillas-joma/1_portada_blue-yellow-png.jpg,119.9,84
images/deportes/zapatillas-joma/naranja-amarilla-1.png,procesada,images/deportes/zapatillas-joma/1_portada_naranja-amarilla-1.jpg,129.8,88
images/deportes/zapatillas-joma/naranja-amarilla.jpg,procesada,images/deportes/zapatillas-joma/1_portada_naranja-amarilla-jpg.jpg,121.9,88
images/deportes/zapatillas-joma/naranja-amarilla.png,procesada,images/deportes/zapatillas-joma/1_portada_naranja-amarilla-png.jpg,122.6,88
images/deportes/zapatillas-joma/navy-orange-2.jpg,procesada,images/deportes/zapatillas-joma/1_portada_navy-orange-2.jpg,122.3,84
images/deportes/zapatillas-joma/navy-orange.jpg,procesada,images/deportes/zapatillas-joma/1_portada_navy-orange-jpg.jpg,122.7,84
images/deportes/zapatillas-joma/navy-orange.png,procesada,images/deportes/zapatillas-joma/1_portada_navy-orange-png.jpg,139.0,92
images/marca/dgmarket/banner-dgmarket.png,omitida (infografia/banner),,,
images/pesca-y-caza/cintillo-linterna-led/caracteristicas.webp,omitida (infografia/banner),,,
images/pesca-y-caza/cintillo-linterna-led/cintillo-portada.png,procesada,images/pesca-y-caza/cintillo-linterna-led/1_portada_cintillo-portada.jpg,131.8,92
images/pesca-y-caza/cintillo-linterna-led/cintillo.webp,omitida (lista de exclusion),,,
images/pesca-y-caza/cintillo-linterna-led/cinto.webp,omitida (lista de exclusion),,,
images/pesca-y-caza/cintillo-linterna-led/instrucciones.webp,omitida (infografia/banner),,,
images/pesca-y-caza/cintillo-linterna-led/linterna-1.jpg,procesada,images/pesca-y-caza/cintillo-linterna-led/1_portada_linterna-1.jpg,133.7,92
images/pesca-y-caza/cintillo-linterna-led/linterna-2.jpg,omitida (lista de exclusion),,,
images/pesca-y-caza/cintillo-linterna-led/linterna-3.jpg,omitida (lista de exclusion),,,
images/pesca-y-caza/cintillo-linterna-led/linterna-4.jpg,omitida (lista de exclusion),,,
images/pesca-y-caza/cintillo-linterna-led/linterna-5.jpg,omitida (lista de exclusion),,,
images/pesca-y-caza/cintillo-linterna-led/linterna-6.jpg,omitida (lista de exclusion),,,
images/pesca-y-caza/cintillo-linterna-led/luces.webp,omitida (infografia/banner),,,
images/pesca-y-caza/senuelos-poseidon/20260511-144524.jpg,omitida (lista de exclusion),,,
images/pesca-y-caza/senuelos-poseidon/20260511-144624.jpg,omitida (lista de exclusion),,,
images/pesca-y-caza/senuelos-poseidon/caracteristicas-producto.png,omitida (infografia/banner),,,
images/pesca-y-caza/senuelos-poseidon/copper-black-1.png,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_copper-black-1.jpg,119.8,92
images/pesca-y-caza/senuelos-poseidon/copper-black.jpg,procesada,images/pesca-y-caza/senuelos-poseidon/1_portada_copper-black-jpg.jpg,87.9,92
